MACRO,COVID,Official,States
fxmacro,fxmacro,HealthNYGov,NY
FirstSquawk,FirstSquawk,NJDeptofHealth,NJ
TuanFxTrader,TuanFxTrader,ALPublicHealth,AL
WEnglandFX,WEnglandFX,Alaska_DHSS,AK
ForexTradersFX,ForexTradersFX,AZDHS,AZ
fx4trader,fx4trader,ADHPIO,AR
FXTraderUpdates,FXTraderUpdates,DHCS_CA,CA
JWagnerFXTrader,JWagnerFXTrader,RIHEALTH,CO
forexlifecom,forexlifecom,CTDPH,CT
ForexLive,ForexLive,DelcoMHC,DE
MehreenKhn,MehreenKhn,HealthyFla,FL
DailyFX,DailyFX,GaDPH,GA
SCMPNews,SCMPNews,HawaiiDOH,HI
realDonaldTrump,realDonaldTrump,IDHW,ID
FXstreetNews,FXstreetNews,IDPHFluNews,IL
Fxhedgers,Fxhedgers,StateHealthIN,IN
RANsquawk,RANsquawk,IowaStateUEHS,IA
globaltimesnews,globaltimesnews,KDHE,KS
LiveSquawk,LiveSquawk,KYHealthAlerts,KY
laurnorman,laurnorman,LADeptHealth,LA
spectatorindex,spectatorindex,MaineDHHS,ME
zeroleverage,zeroleverage,MDHealthDept,MD
DeItaOne,DeItaOne,MassDPH,MA
HuXijin_GT,HuXijin_GT,MichiganHHS,MI
Lee_Saks,Lee_Saks,mnhealth,MN
nunziato_frank,nunziato_frank,UMHESRM,MS
LONGCONVEXITY,LONGCONVEXITY,HealthyLivingMo,MO
RedboxWire,RedboxWire,HHSRegion8,MT
zerohedge,zerohedge,NEDHHS,NE
IMFNews,IMFNews,DhhsNevada,NV
AswathDamodaran,AswathDamodaran,NHDHHSPIO,NH
YanniKouts,YanniKouts,NMDOH,NM
wmd4x,wmd4x,ncdhhs,NC
PeterLBrandt,PeterLBrandt,NDDOH,ND
4xInsight,4xInsight,OHdeptofhealth,OH
OptionsAction,OptionsAction,HealthyOklahoma,OK
C_Barraud,C_Barraud,ORHumanServices,OR
OddStats,OddStats,PAHealthDept,PA
kannbwx,kannbwx,RIHEALTH,RI
waztrade,waztrade,scdhec,SC
CapEconMarkets,CapEconMarkets,SDDOH,SD
RJ_Killmex,RJ_Killmex,TNDeptofHealth,TN
quantfiction,quantfiction,TexasDSHS,TX
AndreasSteno,AndreasSteno,UtahDepOfHealth,UT
Forbes,Forbes,healthvermont,VT
HedgeyeDDale,HedgeyeDDale,VDHgov,VA
MacroCharts,MacroCharts,WADeptHealth,WA
QTRResearch,QTRResearch,WV_DHHR,WV
RealVision,RealVision,DHSWI,WI
WSJ,WSJ,health_wyoming,WY
Hedgeye,Hedgeye,,
FractalVola,FractalVola,,
KeithMcCullough,KeithMcCullough,,
HedgeyeFIG,HedgeyeFIG,,
HedgeyeDJ,HedgeyeDJ,,
JonathanSwan,JonathanSwan,,
reuters,reuters,,
Bloomberg,Bloomberg,,
LizAnnSonders,LizAnnSonders,,
RobinBrooksIIF,RobinBrooksIIF,,
sentimenTrader,sentimenTrader,,
amacker,amacker,,
EvercoreWealth,EvercoreWealth,,
stack2thefuture,stack2thefuture,,
ShaneOliverAMP,ShaneOliverAMP,,
NutitCZ,NutitCZ,,
RobertLBurns61,RobertLBurns61,,
ThinageeInvest,ThinageeInvest,,
Fintwit_news,Fintwit_news,,
WSJecon,WSJecon,,
JPZaragoza1,JPZaragoza1,,
mchilberg,mchilberg,,
JStein_WaPo,JStein_WaPo,,
JackPScott,JackPScott,,
rationalwalk,rationalwalk,,
aeberman12,aeberman12,,
LukeGromen,LukeGromen,,
ZeroFoxMacro,ZeroFoxMacro,,
floating shares,floating shares,,
ecb,ecb,,
mkraju,mkraju,,
betsy_klein,betsy_klein,,
sahilkapur,sahilkapur,,
JakeSherman,JakeSherman,,
SpeakerPelosi,SpeakerPelosi,,
stevenmnuchin1,stevenmnuchin1,,
ericawerner,ericawerner,,
burgessev,burgessev,,
Drew_Hammill,Drew_Hammill,,
igorbobic,igorbobic,,
jordaninc,jordaninc,,
mcm_ct,mcm_ct,,
breakingmkts,breakingmkts,,
PollWatch2020,PollWatch2020,,
quant_data,quant_data,,
WinWithJMC,WinWithJMC,,
benyt,benyt,,
umichvoter,umichvoter,,
FinancialJuice,CoronaUpdateBot,,
,jeremy_hume,,
,vmrwanda,,
,FANTASTICRADIOO,,
,GlobalPandemics,,
,COVIDLive,,
,world_news_eng,,
,B1G_BAZ,,
,WorldCOVID19,,
,poandpo,,
,tracym81,,
,familydisaster,,
,fehowarth,,
,viralvideovlogs,,
,Sayitisntso5,,
,CitImmCanada,,
,news24x75,,
,Deeenst,,
,mylovelypets,,
,MattMurph24,,
,ArunThomas9847,,
,jmhamiltonblog,,
,everycolorinc,,
,DailyMirror,,
,FOXBaltimore,,
,COVIDinColorado,,
,naderehsani12,,
,_Trina_Maria_,,
,GenXMedia,,
,IAM__Network,,
,Uwe27419974,,
,trackntracer,,
,GemmaRooney10,,
,corona_tweet,,
,Fuccouttahurr,,
,erschadi,,
,YidBull,,
,marciasgreen,,
,GoSolar01,,
,wbaltv11,,
,peacelovingrn,,
,rpujolvives,,
,bobhillbrain,,
,SkyNews,,
,CBS4Local,,
,KFOX14,,
,BCWildfireWkly,,
,KREM2,,
,africanaffairs,,
,MarsPioneer,,
,s9tmt,,
,DelawareCOVID,,
,JMosayyeb,,
,JubileeUSA,,
,brittanyzucker,,
,Extra_Covid19,,
,2kiwi31,,
,Lisajeanapple,,
,DiogenesQuest,,
,Harvard2H,,
,rashidaldosari,,
,hackneywick,,
,unixdoss,,
,Dorothy30901458,,
,KimRHolmes2,,
,john1966olsen,,
,DrKISEKKAMARTI2,,
,AldoCaliari,,
,bz80qrlXkWpoBcT,,
,Andrea37681961,,
,LaxMusgrave,,
,JohnAALogan,,
,bahepa,,
,jurylady5,,
,meNabster,,
,NgospelMedia,,
,DCAbloob,,
,All435Reps,,
,suepeac,,
,buckleyswartz,,
,danielle_ivory,,
,BehroozBalouch,,
,paulrogers002,,
,OldSouthernDem,,
,EnglishSlinger,,
,AngelicaC503,,
,northwind1ndn,,
,ThisWasMash,,
,PenderynDic,,
,lanct22,,
,DanTilkinKOIN6,,
,EndGameWW3,,
,AldershotYC,,
,BahangD,,
,BelTel,,
,TheNewsGob,,
,GovSherazKhan,,
,Pamela49986311,,
,garden4u_wa,,
,FinancialJuice,,
